hull_D;hull_L;batt_MODEL;batt_D;batt_L;total_N;total_CAP;total_MASS
0.04;0.17;4;0.0145;0.0505;15;40.5;360.0
0.04;0.17;5;0.026199999999999998;0.05;3;24.0;195.0
0.04;0.17;6;0.0342;0.0615;2;24.0;270.0
0.04;0.17;7;0.033;0.091;1;26.0;255.0
0.04;0.18;0;0.014;0.04;20;20.0;220.0
0.04;0.18;1;0.014;0.025;35;35.0;245.0
0.04;0.18;2;0.0083;0.0425;68;42.5;408.0
0.04;0.18;3;0.0105;0.0445;36;43.2;432.0
0.04;0.18;4;0.0145;0.0505;15;40.5;360.0
0.04;0.18;5;0.026199999999999998;0.05;3;24.0;195.0
0.04;0.18;6;0.0342;0.0615;2;24.0;270.0
0.04;0.18;7;0.033;0.091;1;26.0;255.0
0.04;0.19;0;0.014;0.04;20;20.0;220.0
0.04;0.19;1;0.014;0.025;35;35.0;245.0
0.04;0.19;2;0.0083;0.0425;68;42.5;408.0
0.04;0.19;3;0.0105;0.0445;36;43.2;432.0
0.04;0.19;4;0.0145;0.0505;15;40.5;360.0
0.04;0.19;5;0.026199999999999998;0.05;3;24.0;195.0
0.04;0.19;6;0.0342;0.0615;3;36.0;405.0
0.04;0.19;7;0.033;0.091;2;52.0;510.0
0.04;0.2;0;0.014;0.04;25;25.0;275.0
0.04;0.2;1;0.014;0.025;40;40.0;280.0
0.04;0.2;2;0.0083;0.0425;68;42.5;408.0
0.04;0.2;3;0.0105;0.0445;36;43.2;432.0
0.04;0.2;4;0.0145;0.0505;15;40.5;360.0
0.04;0.2;5;0.026199999999999998;0.05;4;32.0;260.0
0.04;0.2;6;0.0342;0.0615;3;36.0;405.0
0.04;0.2;7;0.033;0.091;2;52.0;510.0
0.04;0.21;0;0.014;0.04;25;25.0;275.0
0.04;0.21;1;0.014;0.025;40;40.0;280.0
0.04;0.21;2;0.0083;0.0425;68;42.5;408.0
0.04;0.21;3;0.0105;0.0445;36;43.2;432.0
0.04;0.21;4;0.0145;0.0505;20;54.0;480.0
0.04;0.21;5;0.026199999999999998;0.05;4;32.0;260.0
0.04;0.21;6;0.0342;0.0615;3;36.0;405.0
0.04;0.21;7;0.033;0.091;2;52.0;510.0
0.04;0.22;0;0.014;0.04;25;25.0;275.0
0.04;0.22;1;0.014;0.025;40;40.0;280.0
0.04;0.22;2;0.0083;0.0425;85;53.125;510.0
0.04;0.22;3;0.0105;0.0445;36;43.2;432.0
0.04;0.22;4;0.0145;0.0505;20;54.0;480.0
0.04;0.22;5;0.026199999999999998;0.05;4;32.0;260.0
0.04;0.22;6;0.0342;0.0615;3;36.0;405.0
0.04;0.22;7;0.033;0.091;2;52.0;510.0
0.04;0.23;0;0.014;0.04;25;25.0;275.0
0.04;0.23;1;0.014;0.025;45;45.0;315.0
0.04;0.23;2;0.0083;0.0425;85;53.125;510.0
0.04;0.23;3;0.0105;0.0445;45;54.0;540.0
0.04;0.23;4;0.0145;0.0505;20;54.0;480.0
0.04;0.23;5;0.026199999999999998;0.05;4;32.0;260.0
0.04;0.23;6;0.0342;0.0615;3;36.0;405.0
0.04;0.23;7;0.033;0.091;2;52.0;510.0
0.04;0.24;0;0.014;0.04;30;30.0;330.0
0.04;0.24;1;0.014;0.025;45;45.0;315.0
0.04;0.24;2;0.0083;0.0425;85;53.125;510.0
0.04;0.24;3;0.0105;0.0445;45;54.0;540.0
0.04;0.24;4;0.0145;0.0505;20;54.0;480.0
0.04;0.24;5;0.026199999999999998;0.05;4;32.0;260.0
0.04;0.24;6;0.0342;0.0615;3;36.0;405.0
0.04;0.24;7;0.033;0.091;2;52.0;510.0
0.04;0.25;0;0.014;0.04;30;30.0;330.0
0.04;0.25;1;0.014;0.025;50;50.0;350.0
0.04;0.25;2;0.0083;0.0425;85;53.125;510.0
0.04;0.25;3;0.0105;0.0445;45;54.0;540.0
0.04;0.25;4;0.0145;0.0505;20;54.0;480.0
0.04;0.25;5;0.026199999999999998;0.05;5;40.0;325.0
0.04;0.25;6;0.0342;0.0615;4;48.0;540.0
0.04;0.25;7;0.033;0.091;2;52.0;510.0
0.04;0.26;0;0.014;0.04;30;30.0;330.0
0.04;0.26;1;0.014;0.025;50;50.0;350.0
0.04;0.26;2;0.0083;0.0425;102;63.75;612.0
0.04;0.26;3;0.0105;0.0445;45;54.0;540.0
0.04;0.26;4;0.0145;0.0505;25;67.5;600.0
0.04;0.26;5;0.026199999999999998;0.05;5;40.0;325.0
0.04;0.26;6;0.0342;0.0615;4;48.0;540.0
0.04;0.26;7;0.033;0.091;2;52.0;510.0
0.04;0.27;0;0.014;0.04;30;30.0;330.0
0.04;0.27;1;0.014;0.025;50;50.0;350.0
0.04;0.27;2;0.0083;0.0425;102;63.75;612.0
0.04;0.27;3;0.0105;0.0445;54;64.8;648.0
0.04;0.27;4;0.0145;0.0505;25;67.5;600.0
0.04;0.27;5;0.026199999999999998;0.05;5;40.0;325.0
0.04;0.27;6;0.0342;0.0615;4;48.0;540.0
0.04;0.27;7;0.033;0.091;2;52.0;510.0
0.04;0.28;0;0.014;0.04;35;35.0;385.0
0.04;0.28;1;0.014;0.025;55;55.0;385.0
0.04;0.28;2;0.0083;0.0425;102;63.75;612.0
0.04;0.28;3;0.0105;0.0445;54;64.8;648.0
0.04;0.28;4;0.0145;0.0505;25;67.5;600.0
0.04;0.28;5;0.026199999999999998;0.05;5;40.0;325.0
0.04;0.28;6;0.0342;0.0615;4;48.0;540.0
0.04;0.28;7;0.033;0.091;3;78.0;765.0
0.04;0.29;0;0.014;0.04;35;35.0;385.0
0.04;0.29;1;0.014;0.025;55;55.0;385.0
0.04;0.29;2;0.0083;0.0425;102;63.75;612.0
0.04;0.29;3;0.0105;0.0445;54;64.8;648.0
0.04;0.29;4;0.0145;0.0505;25;67.5;600.0
0.04;0.29;5;0.026199999999999998;0.05;5;40.0;325.0
0.04;0.29;6;0.0342;0.0615;4;48.0;540.0
0.04;0.29;7;0.033;0.091;3;78.0;765.0
0.04;0.3;0;0.014;0.04;35;35.0;385.0
0.04;0.3;1;0.014;0.025;60;60.0;420.0
0.04;0.3;2;0.0083;0.0425;119;74.375;714.0
0.04;0.3;3;0.0105;0.0445;54;64.8;648.0
0.04;0.3;4;0.0145;0.0505;25;67.5;600.0
0.04;0.3;5;0.026199999999999998;0.05;6;48.0;390.0
0.04;0.3;6;0.0342;0.0615;4;48.0;540.0
0.04;0.3;7;0.033;0.091;3;78.0;765.0
