hull_D;hull_L;batt_MODEL;batt_D;batt_L;total_N;total_CAP;total_MASS
0.08;0.26;5;0.026199999999999998;0.05;35;280.0;2275.0
0.08;0.26;6;0.0342;0.0615;12;144.0;1620.0
0.08;0.26;7;0.033;0.091;8;208.0;2040.0
0.08;0.27;0;0.014;0.04;144;144.0;1584.0
0.08;0.27;1;0.014;0.025;240;240.0;1680.0
0.08;0.27;2;0.0083;0.0425;444;277.5;2664.0
0.08;0.27;3;0.0105;0.0445;270;324.0;3240.0
0.08;0.27;4;0.0145;0.0505;110;297.0;2640.0
0.08;0.27;5;0.026199999999999998;0.05;35;280.0;2275.0
0.08;0.27;6;0.0342;0.0615;12;144.0;1620.0
0.08;0.27;7;0.033;0.091;8;208.0;2040.0
0.08;0.28;0;0.014;0.04;168;168.0;1848.0
0.08;0.28;1;0.014;0.025;264;264.0;1848.0
0.08;0.28;2;0.0083;0.0425;444;277.5;2664.0
0.08;0.28;3;0.0105;0.0445;270;324.0;3240.0
0.08;0.28;4;0.0145;0.0505;110;297.0;2640.0
0.08;0.28;5;0.026199999999999998;0.05;35;280.0;2275.0
0.08;0.28;6;0.0342;0.0615;12;144.0;1620.0
0.08;0.28;7;0.033;0.091;12;312.0;3060.0
0.08;0.29;0;0.014;0.04;168;168.0;1848.0
0.08;0.29;1;0.014;0.025;264;264.0;1848.0
0.08;0.29;2;0.0083;0.0425;444;277.5;2664.0
0.08;0.29;3;0.0105;0.0445;270;324.0;3240.0
0.08;0.29;4;0.0145;0.0505;110;297.0;2640.0
0.08;0.29;5;0.026199999999999998;0.05;35;280.0;2275.0
0.08;0.29;6;0.0342;0.0615;12;144.0;1620.0
0.08;0.29;7;0.033;0.091;12;312.0;3060.0
0.08;0.3;0;0.014;0.04;168;168.0;1848.0
0.08;0.3;1;0.014;0.025;288;288.0;2016.0
0.08;0.3;2;0.0083;0.0425;518;323.75;3108.0
0.08;0.3;3;0.0105;0.0445;270;324.0;3240.0
0.08;0.3;4;0.0145;0.0505;110;297.0;2640.0
0.08;0.3;5;0.026199999999999998;0.05;42;336.0;2730.0
0.08;0.3;6;0.0342;0.0615;12;144.0;1620.0
0.08;0.3;7;0.033;0.091;12;312.0;3060.0
0.08;0.31;0;0.014;0.04;168;168.0;1848.0
0.08;0.31;1;0.014;0.025;288;288.0;2016.0
0.08;0.31;2;0.0083;0.0425;518;323.75;3108.0
0.08;0.31;3;0.0105;0.0445;270;324.0;3240.0
0.08;0.31;4;0.0145;0.0505;132;356.4;3168.0
0.08;0.31;5;0.026199999999999998;0.05;42;336.0;2730.0
0.08;0.31;6;0.0342;0.0615;15;180.0;2025.0
0.08;0.31;7;0.033;0.091;12;312.0;3060.0
0.08;0.32;0;0.014;0.04;192;192.0;2112.0
0.08;0.32;1;0.014;0.025;288;288.0;2016.0
0.08;0.32;2;0.0083;0.0425;518;323.75;3108.0
0.08;0.32;3;0.0105;0.0445;315;378.0;3780.0
0.08;0.32;4;0.0145;0.0505;132;356.4;3168.0
0.08;0.32;5;0.026199999999999998;0.05;42;336.0;2730.0
0.08;0.32;6;0.0342;0.0615;15;180.0;2025.0
0.08;0.32;7;0.033;0.091;12;312.0;3060.0
0.08;0.33;0;0.014;0.04;192;192.0;2112.0
0.08;0.33;1;0.014;0.025;312;312.0;2184.0
0.08;0.33;2;0.0083;0.0425;518;323.75;3108.0
0.08;0.33;3;0.0105;0.0445;315;378.0;3780.0
0.08;0.33;4;0.0145;0.0505;132;356.4;3168.0
0.08;0.33;5;0.026199999999999998;0.05;42;336.0;2730.0
0.08;0.33;6;0.0342;0.0615;15;180.0;2025.0
0.08;0.33;7;0.033;0.091;12;312.0;3060.0
0.08;0.34;0;0.014;0.04;192;192.0;2112.0
0.08;0.34;1;0.014;0.025;312;312.0;2184.0
0.08;0.34;2;0.0083;0.0425;592;370.0;3552.0
0.08;0.34;3;0.0105;0.0445;315;378.0;3780.0
0.08;0.34;4;0.0145;0.0505;132;356.4;3168.0
0.08;0.34;5;0.026199999999999998;0.05;42;336.0;2730.0
0.08;0.34;6;0.0342;0.0615;15;180.0;2025.0
0.08;0.34;7;0.033;0.091;12;312.0;3060.0
0.08;0.35;0;0.014;0.04;192;192.0;2112.0
0.08;0.35;1;0.014;0.025;336;336.0;2352.0
0.08;0.35;2;0.0083;0.0425;592;370.0;3552.0
0.08;0.35;3;0.0105;0.0445;315;378.0;3780.0
0.08;0.35;4;0.0145;0.0505;132;356.4;3168.0
0.08;0.35;5;0.026199999999999998;0.05;49;392.0;3185.0
0.08;0.35;6;0.0342;0.0615;15;180.0;2025.0
0.08;0.35;7;0.033;0.091;12;312.0;3060.0
0.08;0.36;0;0.014;0.04;216;216.0;2376.0
0.08;0.36;1;0.014;0.025;336;336.0;2352.0
0.08;0.36;2;0.0083;0.0425;592;370.0;3552.0
0.08;0.36;3;0.0105;0.0445;360;432.0;4320.0
0.08;0.36;4;0.0145;0.0505;154;415.8;3696.0
0.08;0.36;5;0.026199999999999998;0.05;49;392.0;3185.0
0.08;0.36;6;0.0342;0.0615;15;180.0;2025.0
0.08;0.36;7;0.033;0.091;12;312.0;3060.0
0.08;0.37;0;0.014;0.04;216;216.0;2376.0
0.08;0.37;1;0.014;0.025;336;336.0;2352.0
0.08;0.37;2;0.0083;0.0425;592;370.0;3552.0
0.08;0.37;3;0.0105;0.0445;360;432.0;4320.0
0.08;0.37;4;0.0145;0.0505;154;415.8;3696.0
0.08;0.37;5;0.026199999999999998;0.05;49;392.0;3185.0
0.08;0.37;6;0.0342;0.0615;18;216.0;2430.0
0.08;0.37;7;0.033;0.091;16;416.0;4080.0
0.08;0.38;0;0.014;0.04;216;216.0;2376.0
0.08;0.38;1;0.014;0.025;360;360.0;2520.0
0.08;0.38;2;0.0083;0.0425;592;370.0;3552.0
0.08;0.38;3;0.0105;0.0445;360;432.0;4320.0
0.08;0.38;4;0.0145;0.0505;154;415.8;3696.0
0.08;0.38;5;0.026199999999999998;0.05;49;392.0;3185.0
0.08;0.38;6;0.0342;0.0615;18;216.0;2430.0
0.08;0.38;7;0.033;0.091;16;416.0;4080.0
0.08;0.39;0;0.014;0.04;216;216.0;2376.0
0.08;0.39;1;0.014;0.025;360;360.0;2520.0
0.08;0.39;2;0.0083;0.0425;666;416.25;3996.0
0.08;0.39;3;0.0105;0.0445;360;432.0;4320.0
0.08;0.39;4;0.0145;0.0505;154;415.8;3696.0
0.08;0.39;5;0.026199999999999998;0.05;49;392.0;3185.0
0.08;0.39;6;0.0342;0.0615;18;216.0;2430.0
0.08;0.39;7;0.033;0.091;16;416.0;4080.0
0.08;0.4;0;0.014;0.04;240;240.0;2640.0
0.08;0.4;1;0.014;0.025;384;384.0;2688.0
0.08;0.4;2;0.0083;0.0425;666;416.25;3996.0
0.08;0.4;3;0.0105;0.0445;360;432.0;4320.0
0.08;0.4;4;0.0145;0.0505;154;415.8;3696.0
0.08;0.4;5;0.026199999999999998;0.05;56;448.0;3640.0
0.08;0.4;6;0.0342;0.0615;18;216.0;2430.0
0.08;0.4;7;0.033;0.091;16;416.0;4080.0
0.08;0.41;0;0.014;0.04;240;240.0;2640.0
0.08;0.41;1;0.014;0.025;384;384.0;2688.0
0.08;0.41;2;0.0083;0.0425;666;416.25;3996.0
0.08;0.41;3;0.0105;0.0445;405;486.0;4860.0
0.08;0.41;4;0.0145;0.0505;176;475.2;4224.0
0.08;0.41;5;0.026199999999999998;0.05;56;448.0;3640.0
0.08;0.41;6;0.0342;0.0615;18;216.0;2430.0
0.08;0.41;7;0.033;0.091;16;416.0;4080.0
0.08;0.42;0;0.014;0.04;240;240.0;2640.0
0.08;0.42;1;0.014;0.025;384;384.0;2688.0
0.08;0.42;2;0.0083;0.0425;666;416.25;3996.0
0.08;0.42;3;0.0105;0.0445;405;486.0;4860.0
0.08;0.42;4;0.0145;0.0505;176;475.2;4224.0
0.08;0.42;5;0.026199999999999998;0.05;56;448.0;3640.0
0.08;0.42;6;0.0342;0.0615;18;216.0;2430.0
0.08;0.42;7;0.033;0.091;16;416.0;4080.0
0.08;0.43;0;0.014;0.04;240;240.0;2640.0
0.08;0.43;1;0.014;0.025;408;408.0;2856.0
0.08;0.43;2;0.0083;0.0425;740;462.5;4440.0
0.08;0.43;3;0.0105;0.0445;405;486.0;4860.0
0.08;0.43;4;0.0145;0.0505;176;475.2;4224.0
0.08;0.43;5;0.026199999999999998;0.05;56;448.0;3640.0
0.08;0.43;6;0.0342;0.0615;18;216.0;2430.0
0.08;0.43;7;0.033;0.091;16;416.0;4080.0
0.08;0.44;0;0.014;0.04;264;264.0;2904.0
0.08;0.44;1;0.014;0.025;408;408.0;2856.0
0.08;0.44;2;0.0083;0.0425;740;462.5;4440.0
0.08;0.44;3;0.0105;0.0445;405;486.0;4860.0
0.08;0.44;4;0.0145;0.0505;176;475.2;4224.0
0.08;0.44;5;0.026199999999999998;0.05;56;448.0;3640.0
0.08;0.44;6;0.0342;0.0615;21;252.0;2835.0
0.08;0.44;7;0.033;0.091;16;416.0;4080.0
0.08;0.45;0;0.014;0.04;264;264.0;2904.0
0.08;0.45;1;0.014;0.025;432;432.0;3024.0
0.08;0.45;2;0.0083;0.0425;740;462.5;4440.0
0.08;0.45;3;0.0105;0.0445;450;540.0;5400.0
0.08;0.45;4;0.0145;0.0505;176;475.2;4224.0
0.08;0.45;5;0.026199999999999998;0.05;63;504.0;4095.0
0.08;0.45;6;0.0342;0.0615;21;252.0;2835.0
0.08;0.45;7;0.033;0.091;16;416.0;4080.0
0.08;0.46;0;0.014;0.04;264;264.0;2904.0
0.08;0.46;1;0.014;0.025;432;432.0;3024.0
0.08;0.46;2;0.0083;0.0425;740;462.5;4440.0
0.08;0.46;3;0.0105;0.0445;450;540.0;5400.0
0.08;0.46;4;0.0145;0.0505;198;534.6;4752.0
0.08;0.46;5;0.026199999999999998;0.05;63;504.0;4095.0
0.08;0.46;6;0.0342;0.0615;21;252.0;2835.0
0.08;0.46;7;0.033;0.091;20;520.0;5100.0
0.08;0.47;0;0.014;0.04;264;264.0;2904.0
0.08;0.47;1;0.014;0.025;432;432.0;3024.0
0.08;0.47;2;0.0083;0.0425;814;508.75;4884.0
0.08;0.47;3;0.0105;0.0445;450;540.0;5400.0
0.08;0.47;4;0.0145;0.0505;198;534.6;4752.0
0.08;0.47;5;0.026199999999999998;0.05;63;504.0;4095.0
0.08;0.47;6;0.0342;0.0615;21;252.0;2835.0
0.08;0.47;7;0.033;0.091;20;520.0;5100.0
0.08;0.48;0;0.014;0.04;288;288.0;3168.0
0.08;0.48;1;0.014;0.025;456;456.0;3192.0
0.08;0.48;2;0.0083;0.0425;814;508.75;4884.0
0.08;0.48;3;0.0105;0.0445;450;540.0;5400.0
0.08;0.48;4;0.0145;0.0505;198;534.6;4752.0
0.08;0.48;5;0.026199999999999998;0.05;63;504.0;4095.0
0.08;0.48;6;0.0342;0.0615;21;252.0;2835.0
0.08;0.48;7;0.033;0.091;20;520.0;5100.0
0.08;0.49;0;0.014;0.04;288;288.0;3168.0
0.08;0.49;1;0.014;0.025;456;456.0;3192.0
0.08;0.49;2;0.0083;0.0425;814;508.75;4884.0
0.08;0.49;3;0.0105;0.0445;495;594.0;5940.0
0.08;0.49;4;0.0145;0.0505;198;534.6;4752.0
0.08;0.49;5;0.026199999999999998;0.05;63;504.0;4095.0
0.08;0.49;6;0.0342;0.0615;21;252.0;2835.0
0.08;0.49;7;0.033;0.091;20;520.0;5100.0
0.08;0.5;0;0.014;0.04;288;288.0;3168.0
0.08;0.5;1;0.014;0.025;480;480.0;3360.0
0.08;0.5;2;0.0083;0.0425;814;508.75;4884.0
0.08;0.5;3;0.0105;0.0445;495;594.0;5940.0
0.08;0.5;4;0.0145;0.0505;198;534.6;4752.0
0.08;0.5;5;0.026199999999999998;0.05;70;560.0;4550.0
0.08;0.5;6;0.0342;0.0615;24;288.0;3240.0
0.08;0.5;7;0.033;0.091;20;520.0;5100.0
0.09;0.05;0;0.014;0.04;31;31.0;341.0
0.09;0.05;1;0.014;0.025;62;62.0;434.0
0.09;0.05;2;0.0083;0.0425;95;59.375;570.0
0.09;0.05;3;0.0105;0.0445;58;69.6;696.0
0.09;0.05;5;0.026199999999999998;0.05;8;64.0;520.0
0.09;0.06;0;0.014;0.04;31;31.0;341.0
0.09;0.06;1;0.014;0.025;62;62.0;434.0
0.09;0.06;2;0.0083;0.0425;95;59.375;570.0
0.09;0.06;3;0.0105;0.0445;58;69.6;696.0
0.09;0.06;4;0.0145;0.0505;30;81.0;720.0
0.09;0.06;5;0.026199999999999998;0.05;8;64.0;520.0
0.09;0.07;0;0.014;0.04;31;31.0;341.0
0.09;0.07;1;0.014;0.025;62;62.0;434.0
0.09;0.07;2;0.0083;0.0425;95;59.375;570.0
0.09;0.07;3;0.0105;0.0445;58;69.6;696.0
0.09;0.07;4;0.0145;0.0505;30;81.0;720.0
0.09;0.07;5;0.026199999999999998;0.05;8;64.0;520.0
0.09;0.07;6;0.0342;0.0615;4;48.0;540.0
0.09;0.08;0;0.014;0.04;62;62.0;682.0
0.09;0.08;1;0.014;0.025;93;93.0;651.0
0.09;0.08;2;0.0083;0.0425;95;59.375;570.0
0.09;0.08;3;0.0105;0.0445;58;69.6;696.0
0.09;0.08;4;0.0145;0.0505;30;81.0;720.0
0.09;0.08;5;0.026199999999999998;0.05;8;64.0;520.0
0.09;0.08;6;0.0342;0.0615;4;48.0;540.0
0.09;0.09;0;0.014;0.04;62;62.0;682.0
0.09;0.09;1;0.014;0.025;93;93.0;651.0
0.09;0.09;2;0.0083;0.0425;190;118.75;1140.0
0.09;0.09;3;0.0105;0.0445;116;139.2;1392.0
0.09;0.09;4;0.0145;0.0505;30;81.0;720.0
0.09;0.09;5;0.026199999999999998;0.05;8;64.0;520.0
0.09;0.09;6;0.0342;0.0615;4;48.0;540.0
0.09;0.1;0;0.014;0.04;62;62.0;682.0
0.09;0.1;1;0.014;0.025;124;124.0;868.0
0.09;0.1;2;0.0083;0.0425;190;118.75;1140.0
0.09;0.1;3;0.0105;0.0445;116;139.2;1392.0
0.09;0.1;4;0.0145;0.0505;30;81.0;720.0
0.09;0.1;5;0.026199999999999998;0.05;16;128.0;1040.0
0.09;0.1;6;0.0342;0.0615;4;48.0;540.0
0.09;0.1;7;0.033;0.091;5;130.0;1275.0
0.09;0.11;0;0.014;0.04;62;62.0;682.0
0.09;0.11;1;0.014;0.025;124;124.0;868.0
0.09;0.11;2;0.0083;0.0425;190;118.75;1140.0
0.09;0.11;3;0.0105;0.0445;116;139.2;1392.0
0.09;0.11;4;0.0145;0.0505;60;162.0;1440.0
0.09;0.11;5;0.026199999999999998;0.05;16;128.0;1040.0
0.09;0.11;6;0.0342;0.0615;4;48.0;540.0
0.09;0.11;7;0.033;0.091;5;130.0;1275.0
0.09;0.12;0;0.014;0.04;93;93.0;1023.0
0.09;0.12;1;0.014;0.025;124;124.0;868.0
0.09;0.12;2;0.0083;0.0425;190;118.75;1140.0
0.09;0.12;3;0.0105;0.0445;116;139.2;1392.0
0.09;0.12;4;0.0145;0.0505;60;162.0;1440.0
0.09;0.12;5;0.026199999999999998;0.05;16;128.0;1040.0
0.09;0.12;6;0.0342;0.0615;4;48.0;540.0
0.09;0.12;7;0.033;0.091;5;130.0;1275.0
0.09;0.13;0;0.014;0.04;93;93.0;1023.0
0.09;0.13;1;0.014;0.025;155;155.0;1085.0
0.09;0.13;2;0.0083;0.0425;285;178.125;1710.0
0.09;0.13;3;0.0105;0.0445;116;139.2;1392.0
0.09;0.13;4;0.0145;0.0505;60;162.0;1440.0
0.09;0.13;5;0.026199999999999998;0.05;16;128.0;1040.0
0.09;0.13;6;0.0342;0.0615;8;96.0;1080.0
0.09;0.13;7;0.033;0.091;5;130.0;1275.0
0.09;0.14;0;0.014;0.04;93;93.0;1023.0
0.09;0.14;1;0.014;0.025;155;155.0;1085.0
0.09;0.14;2;0.0083;0.0425;285;178.125;1710.0
0.09;0.14;3;0.0105;0.0445;174;208.8;2088.0
0.09;0.14;4;0.0145;0.0505;60;162.0;1440.0
0.09;0.14;5;0.026199999999999998;0.05;16;128.0;1040.0
0.09;0.14;6;0.0342;0.0615;8;96.0;1080.0
0.09;0.14;7;0.033;0.091;5;130.0;1275.0
0.09;0.15;0;0.014;0.04;93;93.0;1023.0
0.09;0.15;1;0.014;0.025;186;186.0;1302.0
0.09;0.15;2;0.0083;0.0425;285;178.125;1710.0
0.09;0.15;3;0.0105;0.0445;174;208.8;2088.0
0.09;0.15;4;0.0145;0.0505;60;162.0;1440.0
0.09;0.15;5;0.026199999999999998;0.05;24;192.0;1560.0
0.09;0.15;6;0.0342;0.0615;8;96.0;1080.0
0.09;0.15;7;0.033;0.091;5;130.0;1275.0
0.09;0.16;0;0.014;0.04;124;124.0;1364.0
0.09;0.16;1;0.014;0.025;186;186.0;1302.0
0.09;0.16;2;0.0083;0.0425;285;178.125;1710.0
0.09;0.16;3;0.0105;0.0445;174;208.8;2088.0
0.09;0.16;4;0.0145;0.0505;90;243.0;2160.0
0.09;0.16;5;0.026199999999999998;0.05;24;192.0;1560.0
0.09;0.16;6;0.0342;0.0615;8;96.0;1080.0
0.09;0.16;7;0.033;0.091;5;130.0;1275.0
0.09;0.17;0;0.014;0.04;124;124.0;1364.0
0.09;0.17;1;0.014;0.025;186;186.0;1302.0
0.09;0.17;2;0.0083;0.0425;380;237.5;2280.0
0.09;0.17;3;0.0105;0.0445;174;208.8;2088.0
0.09;0.17;4;0.0145;0.0505;90;243.0;2160.0
0.09;0.17;5;0.026199999999999998;0.05;24;192.0;1560.0
0.09;0.17;6;0.0342;0.0615;8;96.0;1080.0
0.09;0.17;7;0.033;0.091;5;130.0;1275.0
0.09;0.18;0;0.014;0.04;124;124.0;1364.0
0.09;0.18;1;0.014;0.025;217;217.0;1519.0
0.09;0.18;2;0.0083;0.0425;380;237.5;2280.0
0.09;0.18;3;0.0105;0.0445;232;278.4;2784.0
0.09;0.18;4;0.0145;0.0505;90;243.0;2160.0
0.09;0.18;5;0.026199999999999998;0.05;24;192.0;1560.0
0.09;0.18;6;0.0342;0.0615;8;96.0;1080.0
0.09;0.18;7;0.033;0.091;5;130.0;1275.0
0.09;0.19;0;0.014;0.04;124;124.0;1364.0
0.09;0.19;1;0.014;0.025;217;217.0;1519.0
0.09;0.19;2;0.0083;0.0425;380;237.5;2280.0
0.09;0.19;3;0.0105;0.0445;232;278.4;2784.0
0.09;0.19;4;0.0145;0.0505;90;243.0;2160.0
0.09;0.19;5;0.026199999999999998;0.05;24;192.0;1560.0
0.09;0.19;6;0.0342;0.0615;12;144.0;1620.0
0.09;0.19;7;0.033;0.091;10;260.0;2550.0
0.09;0.2;0;0.014;0.04;155;155.0;1705.0
0.09;0.2;1;0.014;0.025;248;248.0;1736.0
0.09;0.2;2;0.0083;0.0425;380;237.5;2280.0
0.09;0.2;3;0.0105;0.0445;232;278.4;2784.0
0.09;0.2;4;0.0145;0.0505;90;243.0;2160.0
0.09;0.2;5;0.026199999999999998;0.05;32;256.0;2080.0
0.09;0.2;6;0.0342;0.0615;12;144.0;1620.0
0.09;0.2;7;0.033;0.091;10;260.0;2550.0
0.09;0.21;0;0.014;0.04;155;155.0;1705.0
0.09;0.21;1;0.014;0.025;248;248.0;1736.0
0.09;0.21;2;0.0083;0.0425;380;237.5;2280.0
0.09;0.21;3;0.0105;0.0445;232;278.4;2784.0
0.09;0.21;4;0.0145;0.0505;120;324.0;2880.0
0.09;0.21;5;0.026199999999999998;0.05;32;256.0;2080.0
0.09;0.21;6;0.0342;0.0615;12;144.0;1620.0
0.09;0.21;7;0.033;0.091;10;260.0;2550.0
0.09;0.22;0;0.014;0.04;155;155.0;1705.0
0.09;0.22;1;0.014;0.025;248;248.0;1736.0
0.09;0.22;2;0.0083;0.0425;475;296.875;2850.0
0.09;0.22;3;0.0105;0.0445;232;278.4;2784.0
0.09;0.22;4;0.0145;0.0505;120;324.0;2880.0
0.09;0.22;5;0.026199999999999998;0.05;32;256.0;2080.0
0.09;0.22;6;0.0342;0.0615;12;144.0;1620.0
0.09;0.22;7;0.033;0.091;10;260.0;2550.0
0.09;0.23;0;0.014;0.04;155;155.0;1705.0
0.09;0.23;1;0.014;0.025;279;279.0;1953.0
0.09;0.23;2;0.0083;0.0425;475;296.875;2850.0
0.09;0.23;3;0.0105;0.0445;290;348.0;3480.0
0.09;0.23;4;0.0145;0.0505;120;324.0;2880.0
0.09;0.23;5;0.026199999999999998;0.05;32;256.0;2080.0
0.09;0.23;6;0.0342;0.0615;12;144.0;1620.0
0.09;0.23;7;0.033;0.091;10;260.0;2550.0
0.09;0.24;0;0.014;0.04;186;186.0;2046.0
0.09;0.24;1;0.014;0.025;279;279.0;1953.0
0.09;0.24;2;0.0083;0.0425;475;296.875;2850.0
0.09;0.24;3;0.0105;0.0445;290;348.0;3480.0
0.09;0.24;4;0.0145;0.0505;120;324.0;2880.0
0.09;0.24;5;0.026199999999999998;0.05;32;256.0;2080.0
0.09;0.24;6;0.0342;0.0615;12;144.0;1620.0
0.09;0.24;7;0.033;0.091;10;260.0;2550.0
0.09;0.25;0;0.014;0.04;186;186.0;2046.0
0.09;0.25;1;0.014;0.025;310;310.0;2170.0
0.09;0.25;2;0.0083;0.0425;475;296.875;2850.0
0.09;0.25;3;0.0105;0.0445;290;348.0;3480.0
0.09;0.25;4;0.0145;0.0505;120;324.0;2880.0
0.09;0.25;5;0.026199999999999998;0.05;40;320.0;2600.0
0.09;0.25;6;0.0342;0.0615;16;192.0;2160.0
0.09;0.25;7;0.033;0.091;10;260.0;2550.0
0.09;0.26;0;0.014;0.04;186;186.0;2046.0
0.09;0.26;1;0.014;0.025;310;310.0;2170.0
0.09;0.26;2;0.0083;0.0425;570;356.25;3420.0
0.09;0.26;3;0.0105;0.0445;290;348.0;3480.0
0.09;0.26;4;0.0145;0.0505;150;405.0;3600.0
0.09;0.26;5;0.026199999999999998;0.05;40;320.0;2600.0
0.09;0.26;6;0.0342;0.0615;16;192.0;2160.0
0.09;0.26;7;0.033;0.091;10;260.0;2550.0
0.09;0.27;0;0.014;0.04;186;186.0;2046.0
0.09;0.27;1;0.014;0.025;310;310.0;2170.0
0.09;0.27;2;0.0083;0.0425;570;356.25;3420.0
0.09;0.27;3;0.0105;0.0445;348;417.6;4176.0
0.09;0.27;4;0.0145;0.0505;150;405.0;3600.0
0.09;0.27;5;0.026199999999999998;0.05;40;320.0;2600.0
0.09;0.27;6;0.0342;0.0615;16;192.0;2160.0
0.09;0.27;7;0.033;0.091;10;260.0;2550.0
0.09;0.28;0;0.014;0.04;217;217.0;2387.0
0.09;0.28;1;0.014;0.025;341;341.0;2387.0
0.09;0.28;2;0.0083;0.0425;570;356.25;3420.0
0.09;0.28;3;0.0105;0.0445;348;417.6;4176.0
0.09;0.28;4;0.0145;0.0505;150;405.0;3600.0
0.09;0.28;5;0.026199999999999998;0.05;40;320.0;2600.0
0.09;0.28;6;0.0342;0.0615;16;192.0;2160.0
0.09;0.28;7;0.033;0.091;15;390.0;3825.0
0.09;0.29;0;0.014;0.04;217;217.0;2387.0
0.09;0.29;1;0.014;0.025;341;341.0;2387.0
0.09;0.29;2;0.0083;0.0425;570;356.25;3420.0
0.09;0.29;3;0.0105;0.0445;348;417.6;4176.0
0.09;0.29;4;0.0145;0.0505;150;405.0;3600.0
0.09;0.29;5;0.026199999999999998;0.05;40;320.0;2600.0
0.09;0.29;6;0.0342;0.0615;16;192.0;2160.0
0.09;0.29;7;0.033;0.091;15;390.0;3825.0
0.09;0.3;0;0.014;0.04;217;217.0;2387.0
0.09;0.3;1;0.014;0.025;372;372.0;2604.0
0.09;0.3;2;0.0083;0.0425;665;415.625;3990.0
0.09;0.3;3;0.0105;0.0445;348;417.6;4176.0
0.09;0.3;4;0.0145;0.0505;150;405.0;3600.0
0.09;0.3;5;0.026199999999999998;0.05;48;384.0;3120.0
0.09;0.3;6;0.0342;0.0615;16;192.0;2160.0
0.09;0.3;7;0.033;0.091;15;390.0;3825.0
0.09;0.31;0;0.014;0.04;217;217.0;2387.0
0.09;0.31;1;0.014;0.025;372;372.0;2604.0
0.09;0.31;2;0.0083;0.0425;665;415.625;3990.0
0.09;0.31;3;0.0105;0.0445;348;417.6;4176.0
0.09;0.31;4;0.0145;0.0505;180;486.0;4320.0
0.09;0.31;5;0.026199999999999998;0.05;48;384.0;3120.0
0.09;0.31;6;0.0342;0.0615;20;240.0;2700.0
0.09;0.31;7;0.033;0.091;15;390.0;3825.0
0.09;0.32;0;0.014;0.04;248;248.0;2728.0
0.09;0.32;1;0.014;0.025;372;372.0;2604.0
0.09;0.32;2;0.0083;0.0425;665;415.625;3990.0
0.09;0.32;3;0.0105;0.0445;406;487.2;4872.0
0.09;0.32;4;0.0145;0.0505;180;486.0;4320.0
0.09;0.32;5;0.026199999999999998;0.05;48;384.0;3120.0
0.09;0.32;6;0.0342;0.0615;20;240.0;2700.0
0.09;0.32;7;0.033;0.091;15;390.0;3825.0
0.09;0.33;0;0.014;0.04;248;248.0;2728.0
0.09;0.33;1;0.014;0.025;403;403.0;2821.0
0.09;0.33;2;0.0083;0.0425;665;415.625;3990.0
0.09;0.33;3;0.0105;0.0445;406;487.2;4872.0
0.09;0.33;4;0.0145;0.0505;180;486.0;4320.0
0.09;0.33;5;0.026199999999999998;0.05;48;384.0;3120.0
0.09;0.33;6;0.0342;0.0615;20;240.0;2700.0
0.09;0.33;7;0.033;0.091;15;390.0;3825.0
0.09;0.34;0;0.014;0.04;248;248.0;2728.0
0.09;0.34;1;0.014;0.025;403;403.0;2821.0
0.09;0.34;2;0.0083;0.0425;760;475.0;4560.0
0.09;0.34;3;0.0105;0.0445;406;487.2;4872.0
0.09;0.34;4;0.0145;0.0505;180;486.0;4320.0
0.09;0.34;5;0.026199999999999998;0.05;48;384.0;3120.0
0.09;0.34;6;0.0342;0.0615;20;240.0;2700.0
0.09;0.34;7;0.033;0.091;15;390.0;3825.0
0.09;0.35;0;0.014;0.04;248;248.0;2728.0
0.09;0.35;1;0.014;0.025;434;434.0;3038.0
0.09;0.35;2;0.0083;0.0425;760;475.0;4560.0
0.09;0.35;3;0.0105;0.0445;406;487.2;4872.0
0.09;0.35;4;0.0145;0.0505;180;486.0;4320.0
0.09;0.35;5;0.026199999999999998;0.05;56;448.0;3640.0
0.09;0.35;6;0.0342;0.0615;20;240.0;2700.0
0.09;0.35;7;0.033;0.091;15;390.0;3825.0
0.09;0.36;0;0.014;0.04;279;279.0;3069.0
0.09;0.36;1;0.014;0.025;434;434.0;3038.0
0.09;0.36;2;0.0083;0.0425;760;475.0;4560.0
0.09;0.36;3;0.0105;0.0445;464;556.8;5568.0
0.09;0.36;4;0.0145;0.0505;210;567.0;5040.0
0.09;0.36;5;0.026199999999999998;0.05;56;448.0;3640.0
0.09;0.36;6;0.0342;0.0615;20;240.0;2700.0
0.09;0.36;7;0.033;0.091;15;390.0;3825.0
0.09;0.37;0;0.014;0.04;279;279.0;3069.0
0.09;0.37;1;0.014;0.025;434;434.0;3038.0
0.09;0.37;2;0.0083;0.0425;760;475.0;4560.0
0.09;0.37;3;0.0105;0.0445;464;556.8;5568.0
0.09;0.37;4;0.0145;0.0505;210;567.0;5040.0
0.09;0.37;5;0.026199999999999998;0.05;56;448.0;3640.0
0.09;0.37;6;0.0342;0.0615;24;288.0;3240.0
0.09;0.37;7;0.033;0.091;20;520.0;5100.0
0.09;0.38;0;0.014;0.04;279;279.0;3069.0
0.09;0.38;1;0.014;0.025;465;465.0;3255.0
0.09;0.38;2;0.0083;0.0425;760;475.0;4560.0
0.09;0.38;3;0.0105;0.0445;464;556.8;5568.0
0.09;0.38;4;0.0145;0.0505;210;567.0;5040.0
